Time,Vehicle ID,X Coordinate,Y Coordinate,Tile Name
1,0,2.01,-312.35,/home/sayon/autoware_map/town01/splitted/4_-11_-325.pcd
2,0,2.01,-310.916,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
2,1,88.3715,-16.34,/home/sayon/autoware_map/town01/splitted/5_81_-18.pcd
3,0,2.01,-306.883,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
3,1,88.3721,-18.7016,/home/sayon/autoware_map/town01/splitted/5_81_-22.pcd
3,2,107.79,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
4,0,2.01,-300.676,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
4,1,88.3732,-22.4265,/home/sayon/autoware_map/town01/splitted/5_81_-27.pcd
4,2,109.777,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
4,3,320.54,-129.517,/home/sayon/autoware_map/town01/splitted/5_320_-135.pcd
5,0,2.01,-292.044,/home/sayon/autoware_map/town01/splitted/4_-11_-299.pcd
5,1,88.3747,-27.7706,/home/sayon/autoware_map/town01/splitted/5_81_-32.pcd
5,2,113.258,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
5,3,318.219,-129.516,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd
5,4,15.26,-330.543,/home/sayon/autoware_map/town01/splitted/2_-40_-377.pcd
6,0,2.01,-281.376,/home/sayon/autoware_map/town01/splitted/4_-11_-286.pcd
6,1,88.3768,-34.8415,/home/sayon/autoware_map/town01/splitted/4_73_-43.pcd
6,2,118.748,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
6,3,313.434,-129.514,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd
6,4,17.4656,-330.544,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
6,5,334.767,-214.26,/home/sayon/autoware_map/town01/splitted/5_330_-214.pcd
7,0,2.02,-268.286,/home/sayon/autoware_map/town01/splitted/5_0_-273.pcd
7,1,88.3793,-43.6472,/home/sayon/autoware_map/town01/splitted/4_73_-43.pcd
7,2,125.721,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
7,3,306.923,-129.511,/home/sayon/autoware_map/town01/splitted/4_305_-142.pcd
7,4,21.9733,-330.547,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
7,5,334.766,-215.644,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd
7,6,320.53,2.01,/home/sayon/autoware_map/town01/splitted/5_320_1.pcd
8,0,2.02,-254.689,/home/sayon/autoware_map/town01/splitted/5_0_-260.pcd
8,1,88.38,-54.7226,/home/sayon/autoware_map/town01/splitted/4_73_-65.pcd
8,2,134.095,-1.95,/home/sayon/autoware_map/town01/splitted/3_104_-6.pcd
8,3,298.62,-129.507,/home/sayon/autoware_map/town01/splitted/5_298_-135.pcd
8,4,28.8777,-330.551,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
8,5,334.765,-218.71,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd
8,6,318.802,2.01506,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd
8,7,2.01,-312.35,/home/sayon/autoware_map/town01/splitted/4_-11_-325.pcd
9,0,2.02,-241.209,/home/sayon/autoware_map/town01/splitted/4_0_-247.pcd
9,1,88.38,-67.4236,/home/sayon/autoware_map/town01/splitted/5_81_-71.pcd
9,2,144.216,-1.95,/home/sayon/autoware_map/town01/splitted/4_135_-11.pcd
9,3,288.629,-129.502,/home/sayon/autoware_map/town01/splitted/5_283_-135.pcd
9,4,37.468,-330.556,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
9,5,334.762,-223.496,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd
9,6,315.571,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd
9,7,2.01,-310.37,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
9,8,334.767,-214.26,/home/sayon/autoware_map/town01/splitted/5_330_-214.pcd
10,0,2.01,-227.736,/home/sayon/autoware_map/town01/splitted/5_0_-234.pcd
10,1,88.3823,-80.0718,/home/sayon/autoware_map/town01/splitted/4_73_-91.pcd
10,2,151.663,-4.13844,/home/sayon/autoware_map/town01/splitted/5_151_-5.pcd
10,3,277.156,-129.496,/home/sayon/autoware_map/town01/splitted/5_275_-135.pcd
10,4,47.7745,-330.562,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
10,5,334.758,-230.165,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd
10,6,309.748,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd
10,7,2.01,-305.962,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
10,8,334.767,-215.365,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd
10,9,92.3989,-181.23,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd
11,0,2.01,-213.651,/home/sayon/autoware_map/town01/splitted/5_-3_-214.pcd
11,1,88.3848,-93.0547,/home/sayon/autoware_map/town01/splitted/5_81_-97.pcd
11,10,92.389,-114.74,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd
11,2,154.069,-11.7313,/home/sayon/autoware_map/town01/splitted/5_151_-16.pcd
11,3,264.197,-129.49,/home/sayon/autoware_map/town01/splitted/5_259_-134.pcd
11,4,59.8197,-330.569,/home/sayon/autoware_map/town01/splitted/2_17_-377.pcd
11,5,334.754,-238.931,/home/sayon/autoware_map/town01/splitted/5_330_-240.pcd
11,6,301.53,2.02,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd
11,7,2.01,-299.604,/home/sayon/autoware_map/town01/splitted/4_-11_-312.pcd
11,8,334.765,-218.974,/home/sayon/autoware_map/town01/splitted/5_330_-221.pcd
11,9,92.3984,-179.215,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd
12,0,2,-199.761,/home/sayon/autoware_map/town01/splitted/4_-3_-208.pcd
12,1,88.3873,-105.697,/home/sayon/autoware_map/town01/splitted/4_73_-117.pcd
12,10,92.3887,-113.025,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd
12,11,88.4009,-213.43,/home/sayon/autoware_map/town01/splitted/5_81_-214.pcd
12,2,154.054,-22.0109,/home/sayon/autoware_map/town01/splitted/5_151_-22.pcd
12,3,249.563,-129.483,/home/sayon/autoware_map/town01/splitted/4_244_-142.pcd
12,4,73.5253,-330.576,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd
12,5,334.748,-249.393,/home/sayon/autoware_map/town01/splitted/5_330_-253.pcd
12,6,291.022,2.03,/home/sayon/autoware_map/town01/splitted/3_290_-7.pcd
12,7,2.01,-291.568,/home/sayon/autoware_map/town01/splitted/4_-11_-299.pcd
12,8,334.762,-223.899,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd
12,9,92.3975,-175.377,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd
13,0,1.99,-185.076,/home/sayon/autoware_map/town01/splitted/5_-3_-188.pcd
13,1,88.3894,-116.843,/home/sayon/autoware_map/town01/splitted/4_73_-117.pcd
13,10,92.3879,-109.118,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd
13,11,88.4012,-215.096,/home/sayon/autoware_map/town01/splitted/5_81_-221.pcd
13,12,378.82,-326.61,/home/sayon/autoware_map/town01/splitted/5_376_-326.pcd
13,2,154.038,-33.2544,/home/sayon/autoware_map/town01/splitted/5_151_-37.pcd
13,3,234.616,-129.475,/home/sayon/autoware_map/town01/splitted/4_228_-142.pcd
13,4,87.0843,-330.583,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd
13,5,334.741,-260.764,/home/sayon/autoware_map/town01/splitted/5_330_-260.pcd
13,6,278.095,2.03,/home/sayon/autoware_map/town01/splitted/3_259_-7.pcd
13,7,2.01,-281.256,/home/sayon/autoware_map/town01/splitted/4_-11_-286.pcd
13,8,334.758,-231.024,/home/sayon/autoware_map/town01/splitted/4_322_-234.pcd
13,9,92.3963,-170.007,/home/sayon/autoware_map/town01/splitted/4_89_-182.pcd
14,0,1.98,-171.203,/home/sayon/autoware_map/town01/splitted/4_-3_-182.pcd
14,1,88.8835,-123.459,/home/sayon/autoware_map/town01/splitted/4_73_-130.pcd
14,10,92.3869,-103.76,/home/sayon/autoware_map/town01/splitted/4_89_-104.pcd
14,11,88.4019,-218.651,/home/sayon/autoware_map/town01/splitted/5_81_-221.pcd
14,12,376.702,-326.61,/home/sayon/autoware_map/town01/splitted/5_376_-326.pcd
14,13,106.52,-199.14,/home/sayon/autoware_map/town01/splitted/3_104_-221.pcd
14,2,154.027,-41.2258,/home/sayon/autoware_map/town01/splitted/5_151_-43.pcd
14,3,220.381,-129.468,/home/sayon/autoware_map/town01/splitted/5_213_-135.pcd
14,4,100.977,-330.59,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd
14,5,334.735,-271.601,/home/sayon/autoware_map/town01/splitted/5_330_-274.pcd
14,6,264.127,2.03,/home/sayon/autoware_map/town01/splitted/3_259_-7.pcd
14,7,2.02,-269.755,/home/sayon/autoware_map/town01/splitted/5_0_-273.pcd
14,8,334.753,-240.103,/home/sayon/autoware_map/town01/splitted/5_330_-240.pcd
14,9,92.3946,-162.212,/home/sayon/autoware_map/town01/splitted/5_89_-162.pcd
15,0,1.98,-156.828,/home/sayon/autoware_map/town01/splitted/3_-18_-169.pcd
15,1,89.3778,-126.089,/home/sayon/autoware_map/town01/splitted/4_89_-130.pcd
15,10,92.3856,-96.9848,/home/sayon/autoware_map/town01/splitted/4_89_-104.pcd
15,11,88.4029,-224.06,/home/sayon/autoware_map/town01/splitted/4_73_-234.pcd
15,12,373.246,-326.61,/home/sayon/autoware_map/town01/splitted/5_368_-326.pcd
15,13,108.439,-199.141,/home/sayon/autoware_map/town01/splitted/3_104_-221.pcd
15,14,158.027,-41.1,/home/sayon/autoware_map/town01/splitted/5_151_-43.pcd
15,2,154.022,-44.8625,/home/sayon/autoware_map/town01/splitted/5_151_-48.pcd
15,3,206.37,-129.461,/home/sayon/autoware_map/town01/splitted/5_205_-135.pcd
15,4,115.128,-330.59,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd
15,5,334.729,-282.394,/home/sayon/autoware_map/town01/splitted/5_330_-287.pcd
15,6,250.239,2.03,/home/sayon/autoware_map/town01/splitted/3_228_-4.pcd
15,7,2.02,-257.743,/home/sayon/autoware_map/town01/splitted/5_0_-260.pcd
15,8,334.747,-250.63,/home/sayon/autoware_map/town01/splitted/5_330_-253.pcd
15,9,92.3925,-152.972,/home/sayon/autoware_map/town01/splitted/5_89_-156.pcd
16,0,1.97,-143.117,/home/sayon/autoware_map/town01/splitted/4_-2_-143.pcd
16,1,89.3793,-126.092,/home/sayon/autoware_map/town01/splitted/4_89_-130.pcd
16,10,92.3838,-87.6382,/home/sayon/autoware_map/town01/splitted/5_89_-91.pcd
16,11,88.4041,-230.94,/home/sayon/autoware_map/town01/splitted/4_73_-234.pcd
16,12,368.163,-326.61,/home/sayon/autoware_map/town01/splitted/5_361_-326.pcd
16,13,112.08,-199.141,/home/sayon/autoware_map/town01/splitted/3_104_-221.pcd
16,14,158.03,-38.8983,/home/sayon/autoware_map/town01/splitted/5_151_-43.pcd
16,15,92.389,-114.74,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd
16,2,154.022,-45.099,/home/sayon/autoware_map/town01/splitted/5_151_-48.pcd
16,3,192.471,-129.455,/home/sayon/autoware_map/town01/splitted/4_182_-130.pcd
16,4,129.214,-330.59,/home/sayon/autoware_map/town01/splitted/2_73_-376.pcd
16,5,334.723,-293.501,/home/sayon/autoware_map/town01/splitted/5_330_-293.pcd
16,6,236.278,2.04,/home/sayon/autoware_map/town01/splitted/3_228_-4.pcd
16,7,2.02,-245.816,/home/sayon/autoware_map/town01/splitted/4_0_-247.pcd
16,8,334.74,-263.383,/home/sayon/autoware_map/town01/splitted/5_330_-267.pcd
16,9,92.3902,-142.676,/home/sayon/autoware_map/town01/splitted/5_89_-143.pcd
17,0,1.96,-128.673,/home/sayon/autoware_map/town01/splitted/5_-2_-130.pcd
17,1,89.3795,-126.092,/home/sayon/autoware_map/town01/splitted/4_89_-130.pcd
17,10,92.3815,-75.768,/home/sayon/autoware_map/town01/splitted/4_89_-78.pcd
17,11,88.4059,-240.303,/home/sayon/autoware_map/town01/splitted/4_73_-247.pcd
17,12,361.712,-326.61,/home/sayon/autoware_map/town01/splitted/5_361_-326.pcd
17,13,117.724,-199.141,/home/sayon/autoware_map/town01/splitted/3_104_-221.pcd
17,14,158.036,-34.683,/home/sayon/autoware_map/town01/splitted/5_151_-37.pcd
17,15,92.3887,-113.301,/home/sayon/autoware_map/town01/splitted/4_89_-117.pcd
17,16,173.18,-1.96,/home/sayon/autoware_map/town01/splitted/5_166_-5.pcd
17,2,154.021,-45.1949,/home/sayon/autoware_map/town01/splitted/5_151_-48.pcd
17,3,177.515,-129.447,/home/sayon/autoware_map/town01/splitted/5_174_-130.pcd
17,4,142.815,-330.59,/home/sayon/autoware_map/town01/splitted/2_135_-376.pcd
17,5,334.717,-304.641,/home/sayon/autoware_map/town01/splitted/5_330_-306.pcd
17,6,222.498,2.04,/home/sayon/autoware_map/town01/splitted/3_197_-4.pcd
17,7,2.02,-234.515,/home/sayon/autoware_map/town01/splitted/4_0_-247.pcd
17,8,334.733,-275.745,/home/sayon/autoware_map/town01/splitted/5_330_-280.pcd
17,9,93.6227,-137.119,/home/sayon/autoware_map/town01/splitted/5_89_-143.pcd
18,0,1.95,-113.977,/home/sayon/autoware_map/town01/splitted/4_-1_-117.pcd
